post_id,text,likes,comments,shares,engagement_score,created_at,platform,author_id,description
aCoNx-1jYQ4,أخيرا رجعنا! الموسم الجديد من اتقدم يبدأ بكره خليكم على الموعد الخميس ٢١٨ الساعة ٩ بالظبط.,207,37,0,244,2025-08-20 18:10:10+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,
1958201459192828344,No httpst.coGqBBG0XvSm,28,16,2,46,2025-08-20 16:16:24+00:00,Twitter,169274239,
1958200587989778912,RT Shaghalni فخورين بالإعلان عن توقيع بروتوكول تعاون بين شغلني ونقابة الصحفيين لتنظيم أول ملتقى توظيف شامل لأسر الصحفيين داخل مقر ال,0,0,1,1,2025-08-20 16:12:56+00:00,Twitter,169274239,
1958190477896724968,RT OmarKhalifa84 httpst.coeahQc7mahT,0,0,2,2,2025-08-20 15:32:46+00:00,Twitter,169274239,
WEQOdTNdMRs,ايه اللي بيحصل ده؟!,1788,154,0,1942,2025-08-19 19:37:52+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,
1957854911430889911,لن ننسى .....الله يرحمه httpst.coaCNb4OCmKm,1535,379,114,2028,2025-08-19 17:19:20+00:00,Twitter,169274239,
1957849267218911726,دي مسألة اخلاق ملهاش دعوة بالخصام httpst.cotv81qVcjaY,151,47,1,199,2025-08-19 16:56:55+00:00,Twitter,169274239,
6eyj8JpElMw,الفيله نعيمه تستحق التقدير,1544,33,0,1577,2025-08-19 15:32:54+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,
h55hDC5N96I,قولولنا في الكومنتات تفتكروا مين هيكسب الموسم الجديد,3266,191,0,3457,2025-08-18 19:23:52+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,قولولنا في الكومنتات تفتكروا مين هيكسب الموسم الجديد برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة ...
ptXc_Umr3h8,البرص طب وانا مالي يا لمبي,2205,35,0,2240,2025-08-18 17:18:26+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,البرص: طب وانا مالي يا لمبي   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...
1957475094369886632,RT BBCNews BBC witnesses Israeli settlers attack on Palestinian farm in West Bank httpst.covDjx2lGkQm,0,0,336,336,2025-08-18 16:10:05+00:00,Twitter,169274239,
1957457358541447650,ده لا شك فيه httpst.coz6YMeyalWl,953,172,31,1156,2025-08-18 14:59:36+00:00,Twitter,169274239,
1957456127114776787,المصالح لا دخل بها بالحقائق الامارات بالعمل الجاد و التكنولوجيا و سلوك أهلها اكثر بلد أمن في المنطقة العربية كلها httpst.coMFyvVamp6J,1290,307,102,1699,2025-08-18 14:54:43+00:00,Twitter,169274239,
3otrN6ov5a0,حليم في اللعبة دي مابيهزرش,1206,17,0,1223,2025-08-18 14:45:27+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,حليم في اللعبة دي مابيهزرش   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...
c90hFbvIBpk,مرتبة الشرف حيوانات متدخلش عيد ميلاد ملك,23238,1688,0,24926,2025-08-17 18:00:06+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,مرتبة الشرف     حيوانات متدخلش عيد ميلاد ملك   إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.
1GnCvQv8uYo,طب ده كيوت والله,2550,35,0,2585,2025-08-17 18:00:00+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,طب ده كيوت والله برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا مشاكلكم في رسائل ...
1957073413706486143,البقية في حياتك httpst.cofz6AjIXbf4,330,95,10,435,2025-08-17 13:33:57+00:00,Twitter,169274239,
1957032154572939290,الامارات و الامارات و الامارات ... httpst.coRc8MWGUZS0,2544,703,277,3524,2025-08-17 10:50:00+00:00,Twitter,169274239,
1ObXW-OOpqI,شاهين اشطر واحد في اللعبة ديه,1954,28,0,1982,2025-08-15 17:05:07+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,شاهين اشطر واحد في اللعبة ديه   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...
UlzVOQFZ--c,يايا يضرب ولا يبالي,4420,46,0,4466,2025-08-14 18:34:05+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,يايا يضرب ولا يبالي برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا مشاكلكم ...
